题目,A,B,答案
“君子之言，信而有征”最早出现在《论语》。( ),A:对,B:不对,B
每月还款时多存入一定金额现金可以保证足额还款，应付出差、利率上调等特殊情况，避免造成不良信用记录。( ),A:对,B:不对,A
有助学贷款的同学，逾期不还且不与高校联系（或虽联系但协商未果）者，其违约信息将进入中国人民银行个人征信系统、教育部大学生学历查询系统等社会征信系统，这样会对违约者以后的工作、生活造成重大影响。( ),A:对,B:不对,A
国家助学贷款信息也属于个人信息基础数据库的征集范围。( ),A:对,B:不对,A
高校助学贷款学生办理贴息延期手续必须是毕业当年考入更高层次学历就读（  ）,A:对,B:不对,A
 韦同学毕业后应征入伍获学费补偿24000元，而他在校期间获得国家助学贷款20000元，因现在家庭生意周转存在困难，向学校提出先还贷款10000元，剩余14000元发给学生用于救急，以后赚钱了个人再还贷款本息。( ),A:对,B:不对,B
各县学生资助管理部门应及时发放户籍为本县的应征入伍服义务兵役毕业生的补偿代偿经费。对于未还清生源地助学贷款的，催促其偿还贷款。( ),A:对,B:不对,B
广西高等学校毕业生学费和国家助学贷款代偿办法中，在县人民政府驻地工作的不享受学费补偿和贷款代偿。( ),A:对,B:不对,A
高校新生入学绿色通道实施对象只是全日制本、专科生，不包含研究生。( ),A:对,B:不对,B
秦同学2015年本科毕业时，不是低保家庭的学生。2015年10月，因突发事件，家庭被列为低保家庭，他能否向原高校提出补发求职补贴申请？( ),A:可以,B:不可以,B
大四学生小陆各方面表现突出，曾两次获得自治区三好学生。他的学习成绩和综合考评成绩达到专业年级排名的前15%。请问，他是否有资格申请国家奖学金？( ),A:是,B:否,B
学校内持续一个学期以上的长期性岗位和寒暑假期间的连续性勤工助学岗位，都属于固定岗位。( ),A:对,B:不对,A
征信是适应现代经济的需要而发展起来的。( ),A:对,B:不对,A
个人信用报告是征信机构出具的记录我过去信用信息的一种文件，它的就像我们的“居民身份证”，因此，人们形象地称它为“经济身份证”。( ),A:对,B:不对,A
助学贷款的起息日为贷款资金划入借款学生助学贷款专用账户之日。(  ),A:对,B:不对,A
首次办理生源地信用助学贷款，借款学生以及共同借款人必须同时到场办理。 ( ),A:对,B:不对,A
